evaluation_id,ticket_id,agent_id,qa_score,defect_category,critical_error,passed_qa
QA0001,TKT0406,AG027,92,None,False,True
QA0002,TKT0074,AG038,83,Incomplete Resolution,False,True
QA0003,TKT0016,AG028,86,Process Compliance,False,True
QA0004,TKT0475,AG018,90,None,False,True
QA0005,TKT0173,AG001,97,None,False,True
QA0006,TKT0158,AG041,91,Documentation,False,True
QA0007,TKT0142,AG048,90,None,False,True
QA0008,TKT0090,AG045,96,None,False,True
QA0009,TKT0472,AG046,84,Communication,False,True
QA0010,TKT0067,AG050,56,Documentation,False,False
QA0011,TKT0433,AG009,85,Documentation,False,True
QA0012,TKT0497,AG045,98,None,False,True
QA0013,TKT0347,AG029,99,Incomplete Resolution,False,True
QA0014,TKT0057,AG043,89,Communication,False,True
QA0015,TKT0374,AG028,100,None,False,True
QA0016,TKT0266,AG016,100,None,False,True
QA0017,TKT0021,AG014,94,None,False,True
QA0018,TKT0019,AG016,99,None,False,True
QA0019,TKT0061,AG044,95,None,False,True
QA0020,TKT0136,AG050,98,Process Compliance,False,True
QA0021,TKT0148,AG007,94,None,False,True
QA0022,TKT0320,AG021,82,Incomplete Resolution,False,True
QA0023,TKT0381,AG027,93,Incomplete Resolution,False,True
QA0024,TKT0017,AG033,90,None,False,True
QA0025,TKT0356,AG012,84,Communication,False,True
QA0026,TKT0123,AG007,52,Incorrect Information,False,False
QA0027,TKT0457,AG045,95,None,False,True
QA0028,TKT0411,AG023,80,Process Compliance,False,True
QA0029,TKT0448,AG026,88,Incorrect Information,False,True
QA0030,TKT0481,AG042,92,Incomplete Resolution,False,True
QA0031,TKT0264,AG019,74,Process Compliance,False,False
QA0032,TKT0137,AG038,96,Incomplete Resolution,False,True
QA0033,TKT0284,AG027,95,None,False,True
QA0034,TKT0373,AG003,95,None,False,True
QA0035,TKT0175,AG043,100,Documentation,False,True
QA0036,TKT0004,AG007,92,None,False,True
QA0037,TKT0101,AG043,95,Incomplete Resolution,False,True
QA0038,TKT0446,AG032,93,Incomplete Resolution,False,True
QA0039,TKT0478,AG038,98,None,False,True
QA0040,TKT0213,AG041,89,Incomplete Resolution,False,True
QA0041,TKT0453,AG033,98,None,False,True
QA0042,TKT0099,AG050,83,Incorrect Information,False,True
QA0043,TKT0135,AG019,89,Process Compliance,False,True
QA0044,TKT0211,AG023,73,Documentation,False,False
QA0045,TKT0489,AG013,100,None,False,True
QA0046,TKT0482,AG024,82,Documentation,False,True
QA0047,TKT0239,AG041,95,None,False,True
QA0048,TKT0063,AG042,80,Process Compliance,False,True
QA0049,TKT0224,AG024,86,Communication,False,True
QA0050,TKT0215,AG049,86,Process Compliance,False,True
QA0051,TKT0382,AG038,73,Documentation,False,False
QA0052,TKT0168,AG037,57,Process Compliance,False,False
QA0053,TKT0027,AG035,97,None,False,True
QA0054,TKT0292,AG007,78,Documentation,False,False
QA0055,TKT0341,AG024,97,None,False,True
QA0056,TKT0080,AG026,84,Incomplete Resolution,False,True
QA0057,TKT0238,AG050,97,None,False,True
QA0058,TKT0052,AG012,98,None,False,True
QA0059,TKT0351,AG001,93,None,False,True
QA0060,TKT0183,AG023,62,Documentation,False,False
QA0061,TKT0396,AG041,90,None,False,True
QA0062,TKT0390,AG033,78,Incorrect Information,False,False
QA0063,TKT0226,AG045,83,Communication,False,True
QA0064,TKT0365,AG014,64,Documentation,False,False
QA0065,TKT0120,AG049,96,None,False,True
QA0066,TKT0044,AG003,97,None,False,True
QA0067,TKT0028,AG007,76,Communication,False,False
QA0068,TKT0144,AG045,81,Process Compliance,False,True
QA0069,TKT0181,AG012,71,Incorrect Information,False,False
QA0070,TKT0421,AG034,93,None,False,True
QA0071,TKT0490,AG041,89,Incomplete Resolution,False,True
QA0072,TKT0065,AG049,79,Incorrect Information,False,False
QA0073,TKT0439,AG047,50,Documentation,False,False
QA0074,TKT0449,AG025,86,Incorrect Information,False,True
QA0075,TKT0287,AG024,79,Documentation,False,False
QA0076,TKT0229,AG024,85,Process Compliance,False,True
QA0077,TKT0103,AG017,70,Process Compliance,False,False
QA0078,TKT0232,AG009,96,None,False,True
QA0079,TKT0221,AG024,79,Communication,False,False
QA0080,TKT0129,AG040,74,Process Compliance,False,False
